Project;Model;Net;Timestamp;Product;Product Name;Product Arrow;Product Flow Amount;LCI Method;Phase;Process;Material Type;Material;Quantity;Unit
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Dinitrogen monoxide [air/unspecified];268,474239660526;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Dinitrogen monoxide [air/urban air close to ground];544,135095272764;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a [air/non-urban air or from high stacks];0,0482771049577825;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a [air/unspecified];0,630518675252784;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a [air/urban air close to ground];0,016654367571196;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,1-trichloro-, HCFC-140 [air/non-urban air or from high stacks];0,00499302839693744;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,1-trichloro-, HCFC-140 [air/unspecified];3,62919201590574E-07;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 [air/unspecified];0,0524707471648938;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 [air/urban air close to ground];0,100923130845614;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Ethane, 1,1-difluoro-, HFC-152a [air/non-urban air or from high stacks];0,000883357668360417;kg CO2-Eq
